"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем что возвращается непустой список заказов","3375","Проверка списка заказов","tests","Fri Jun 20 16:28:23 CEST 2025","passed","Fri Jun 20 16:28:26 CEST 2025","TestGetOrders","test_get_orders","",""
"
    Покрываем требования:
    2. Нельзя создать двух одинаковых курьеров
    4. Запрос возвращает правильный код ответа (409)
    7. При создании с существующим логином возвращается ошибка
    ","683","Ошибка при дубликате логина","tests","Fri Jun 20 16:28:20 CEST 2025","passed","Fri Jun 20 16:28:21 CEST 2025","TestCourierCreation","test_courier_creation","",""
"
    Проверяем что:
    - Можно указать BLACK или GREY
    - Можно указать оба цвета
    - Можно не указывать цвет
    - Ответ содержит track
    ","326","Создание заказа с разными цветами","tests","Fri Jun 20 16:28:37 CEST 2025","passed","Fri Jun 20 16:28:37 CEST 2025","TestOrderCreation","test_order_creation","",""
"
    Проверяем что:
    - Можно указать BLACK или GREY
    - Можно указать оба цвета
    - Можно не указывать цвет
    - Ответ содержит track
    ","343","Создание заказа с разными цветами","tests","Fri Jun 20 16:28:36 CEST 2025","passed","Fri Jun 20 16:28:37 CEST 2025","TestOrderCreation","test_order_creation","",""
"
    Проверяем что:
    - Можно указать BLACK или GREY
    - Можно указать оба цвета
    - Можно не указывать цвет
    - Ответ содержит track
    ","328","Создание заказа с разными цветами","tests","Fri Jun 20 16:28:36 CEST 2025","passed","Fri Jun 20 16:28:36 CEST 2025","TestOrderCreation","test_order_creation","",""
"
    Покрываем требования:
    5. Система вернет ошибку при неправильном логине/пароле
    4. Запрос возвращает правильный код ответа (404)
    7. При несуществующем пользователе возвращается ошибка
    ","358","Ошибка при неверных учетных данных","tests","Fri Jun 20 16:28:35 CEST 2025","passed","Fri Jun 20 16:28:35 CEST 2025","TestLoginCourier","test_login_courier","",""
"
    Покрываем требования:
    3. Для создания нужны все обязательные поля (login, password)
    4. Запрос возвращает правильный код ответа (400)
    6. При отсутствии полей возвращается ошибка
    ","319","Ошибка при отсутствии обязательных полей","tests","Fri Jun 20 16:28:21 CEST 2025","passed","Fri Jun 20 16:28:22 CEST 2025","TestCourierCreation","test_courier_creation","",""
"
    Покрываем требования:
    3. Для авторизации нужны все обязательные поля
    4. Запрос возвращает правильный код ответа (400)
    6. При отсутствии полей возвращается ошибка
    ","335","Ошибка при отсутствии обязательных полей","tests","Fri Jun 20 16:28:28 CEST 2025","passed","Fri Jun 20 16:28:28 CEST 2025","TestLoginCourier","test_login_courier","",""
"
    Покрываем требования:
    1. Курьер может авторизоваться
    2. Успешный запрос возвращает id
    ","317","Успешная авторизация курьера","tests","Fri Jun 20 16:28:26 CEST 2025","passed","Fri Jun 20 16:28:27 CEST 2025","TestLoginCourier","test_login_courier","",""
"
    Покрываем требования:
    3. Для создания нужны все обязательные поля (login, password)
    4. Запрос возвращает правильный код ответа (400)
    6. При отсутствии полей возвращается ошибка
    ","290","Ошибка при отсутствии обязательных полей","tests","Fri Jun 20 16:28:22 CEST 2025","passed","Fri Jun 20 16:28:22 CEST 2025","TestCourierCreation","test_courier_creation","",""
"
    Покрываем требования:
    5. Система вернет ошибку при неправильном логине/пароле
    4. Запрос возвращает правильный код ответа (404)
    7. При несуществующем пользователе возвращается ошибка
    ","332","Ошибка при неверных учетных данных","tests","Fri Jun 20 16:28:33 CEST 2025","passed","Fri Jun 20 16:28:34 CEST 2025","TestLoginCourier","test_login_courier","",""
"
    Проверяем что:
    - Можно указать BLACK или GREY
    - Можно указать оба цвета
    - Можно не указывать цвет
    - Ответ содержит track
    ","340","Создание заказа с разными цветами","tests","Fri Jun 20 16:28:36 CEST 2025","passed","Fri Jun 20 16:28:36 CEST 2025","TestOrderCreation","test_order_creation","",""
"
    Покрываем требования:
    3. Для авторизации нужны все обязательные поля
    4. Запрос возвращает правильный код ответа (400)
    6. При отсутствии полей возвращается ошибка
    ","3236","Ошибка при отсутствии обязательных полей","tests","Fri Jun 20 16:28:29 CEST 2025","skipped","Fri Jun 20 16:28:32 CEST 2025","TestLoginCourier","test_login_courier","",""
"
    Покрываем требования:
    1. Курьера можно создать
    4. Запрос возвращает правильный код ответа (201)
    5. Успешный запрос возвращает {""ok"": true}
    ","886","Успешное создание курьера","tests","Fri Jun 20 16:28:18 CEST 2025","passed","Fri Jun 20 16:28:19 CEST 2025","TestCourierCreation","test_courier_creation","",""
